Code,Borough,Ward_Name,Year,Population,Hectares,Square_Kilometres,Population_per_hectare,Population_per_square_kilometre
E05000026,Barking and Dagenham,Abbey,2011,12904,127.9,1.279,100.8913213,10089.13213
E05000027,Barking and Dagenham,Alibon,2011,10468,136.1,1.361,76.9140338,7691.40338
E05000028,Barking and Dagenham,Becontree,2011,11638,128.4,1.284,90.63862928,9063.862928
E05000029,Barking and Dagenham,Chadwell Heath,2011,10098,338,3.38,29.87573964,2987.573964
E05000030,Barking and Dagenham,Eastbrook,2011,10581,345.4,3.454,30.63404748,3063.404748
E05000031,Barking and Dagenham,Eastbury,2011,11717,144.5,1.445,81.08650519,8108.650519
E05000032,Barking and Dagenham,Gascoigne,2011,12560,113.4,1.134,110.7583774,11075.83774
E05000033,Barking and Dagenham,Goresbrook,2011,11358,128,1.28,88.734375,8873.4375
E05000034,Barking and Dagenham,Heath,2011,10869,200.5,2.005,54.20947631,5420.947631
E05000035,Barking and Dagenham,Longbridge,2011,11569,164,1.64,70.54268293,7054.268293
E05000036,Barking and Dagenham,Mayesbrook,2011,10425,185.1,1.851,56.32090762,5632.090762
E05000037,Barking and Dagenham,Parsloes,2011,9917,124.3,1.243,79.78278359,7978.278359
E05000038,Barking and Dagenham,River,2011,11014,355.2,3.552,31.00788288,3100.788288
E05000039,Barking and Dagenham,Thames,2011,10821,788.4,7.884,13.72526636,1372.526636
E05000040,Barking and Dagenham,Valence,2011,9946,129.3,1.293,76.92188708,7692.188708
E05000041,Barking and Dagenham,Village,2011,10873,214,2.14,50.80841121,5080.841121
E05000042,Barking and Dagenham,Whalebone,2011,10658,155.4,1.554,68.58429858,6858.429858
E05000043,Barnet,Brunswick Park,2011,16454,317.4,3.174,51.83994959,5183.994959
E05000044,Barnet,Burnt Oak,2011,18279,206.4,2.064,88.56104651,8856.104651
E05000045,Barnet,Childs Hill,2011,20112,308.9,3.089,65.10844934,6510.844934
E05000046,Barnet,Colindale,2011,17153,264.2,2.642,64.92429977,6492.429977
E05000047,Barnet,Coppetts,2011,17311,272,2.72,63.64338235,6364.338235
E05000048,Barnet,East Barnet,2011,16195,375.2,3.752,43.16364606,4316.364606
E05000049,Barnet,East Finchley,2011,16050,252.4,2.524,63.58954041,6358.954041
E05000050,Barnet,Edgware,2011,16787,556,5.56,30.19244604,3019.244604
E05000051,Barnet,Finchley Church End,2011,15778,270.9,2.709,58.24289406,5824.289406
E05000052,Barnet,Garden Suburb,2011,15990,473.1,4.731,33.7983513,3379.83513
E05000053,Barnet,Golders Green,2011,18880,297.8,2.978,63.39825386,6339.825386
E05000054,Barnet,Hale,2011,17500,542.2,5.422,32.27591295,3227.591295
E05000055,Barnet,Hendon,2011,18525,284,2.84,65.22887324,6522.887324
E05000056,Barnet,High Barnet,2011,15364,830.9,8.309,18.49079312,1849.079312
E05000057,Barnet,Mill Hill,2011,18523,938.7,9.387,19.73260893,1973.260893
E05000058,Barnet,Oakleigh,2011,15871,331.7,3.317,47.84745252,4784.745252
E05000059,Barnet,Totteridge,2011,15217,876.8,8.768,17.35515511,1735.515511
E05000060,Barnet,Underhill,2011,15978,455.2,4.552,35.10105448,3510.105448
E05000061,Barnet,West Finchley,2011,16594,216.1,2.161,76.78852383,7678.852383
E05000062,Barnet,West Hendon,2011,17454,342.6,3.426,50.94570928,5094.570928
E05000063,Barnet,Woodhouse,2011,17638,261.2,2.612,67.52679939,6752.679939
E05000064,Bexley,Barnehurst,2011,10461,287,2.87,36.44947735,3644.947735
E05000065,Bexley,Belvedere,2011,11944,316.1,3.161,37.78551091,3778.551091
E05000066,Bexley,Blackfen and Lamorbey,2011,10660,168.7,1.687,63.18909306,6318.909306
E05000067,Bexley,Blendon and Penhill,2011,10953,209.8,2.098,52.20686368,5220.686368
E05000068,Bexley,Brampton,2011,10592,197.3,1.973,53.68474404,5368.474404
E05000069,Bexley,Christchurch,2011,11015,254.8,2.548,43.2299843,4322.99843
E05000070,Bexley,Colyers,2011,11177,164.1,1.641,68.11090798,6811.090798
E05000071,Bexley,Crayford,2011,11274,396.8,3.968,28.41229839,2841.229839
E05000072,Bexley,Cray Meadows,2011,11259,718.4,7.184,15.67232739,1567.232739
E05000073,Bexley,Danson Park,2011,10908,271.6,2.716,40.16200295,4016.200295
E05000074,Bexley,East Wickham,2011,10909,216.9,2.169,50.29506685,5029.506685
E05000075,Bexley,Erith,2011,12112,475.6,4.756,25.46677881,2546.677881
E05000076,Bexley,Falconwood and Welling,2011,10847,166.5,1.665,65.14714715,6514.714715
E05000077,Bexley,Lesnes Abbey,2011,11393,237,2.37,48.07172996,4807.172996
E05000078,Bexley,Longlands,2011,10490,259.2,2.592,40.47067901,4047.067901
E05000079,Bexley,North End,2011,11619,568.9,5.689,20.42362454,2042.362454
E05000080,Bexley,Northumberland Heath,2011,10641,176.3,1.763,60.35734543,6035.734543
E05000081,Bexley,St Mary's,2011,10528,442.9,4.429,23.77060284,2377.060284
E05000082,Bexley,St Michael's,2011,11181,144.4,1.444,77.43074792,7743.074792
E05000083,Bexley,Sidcup,2011,10889,270.2,2.702,40.29977794,4029.977794
E05000084,Bexley,Thamesmead East,2011,12149,483.7,4.837,25.11680794,2511.680794
E05000085,Brent,Alperton,2011,14094,205.8,2.058,68.48396501,6848.396501
E05000086,Brent,Barnhill,2011,15868,297.5,2.975,53.33781513,5333.781513
E05000087,Brent,Brondesbury Park,2011,13097,172.2,1.722,76.05691057,7605.691057
E05000088,Brent,Dollis Hill,2011,13504,229.8,2.298,58.76414273,5876.414273
E05000089,Brent,Dudden Hill,2011,15148,168.2,1.682,90.05945303,9005.945303
E05000090,Brent,Fryent,2011,13527,265.8,2.658,50.89164786,5089.164786
E05000091,Brent,Harlesden,2011,17274,111.5,1.115,154.9237668,15492.37668
E05000092,Brent,Kensal Green,2011,15013,112.1,1.121,133.9250669,13392.50669
E05000093,Brent,Kenton,2011,12199,225,2.25,54.21777778,5421.777778
E05000094,Brent,Kilburn,2011,17096,94.4,0.944,181.1016949,18110.16949
