Old Ward Code,New ward code,Ward,Borough,Life Expectancy 2005-2009,Life Expectancy 2006-2010,Life Expectancy 2007-11,Life Expectancy 2008-12,Life Expectancy 2009-13,Childhood Obesity 2009,Childhood Obesity 2010,Childhood Obesity 2011,Childhood Obesity 2012,Childhood Obesity 2013,Incapacity Benefit rate - 2009,Incapacity Benefit rate - 2010,Incapacity Benefit rate - 2011,Incapacity Benefit rate - 2012,Incapacity Benefit rate - 2013,Unemployment rate 2009,Unemployment rate 2010,Unemployment rate 2011,Unemployment rate 2012,Unemployment rate 2013,Crime rate - 2009,Crime rate - 2010,Crime rate - 2011,Crime rate - 2012,Crime rate - 2013,Deliberate Fires - 2009,Deliberate Fires - 2010,Deliberate Fires - 2011,Deliberate Fires - 2012,Deliberate Fires - 2013,GCSE point scores - 2009,GCSE point scores - 2010,GCSE point scores - 2011,GCSE point scores - 2012,GCSE point scores - 2013,Unauthorised Absence in All Schools (%) - 2009,Unauthorised Absence in All Schools (%) - 2010,Unauthorised Absence in All Schools (%) - 2011,Unauthorised Absence in All Schools (%) - 2012,Unauthorised Absence in All Schools (%) - 2013,% dependent children in out-of-work households - 2009,% dependent children in out-of-work households - 2010,% dependent children in out-of-work households - 2011,% dependent children in out-of-work households - 2012,% dependent children in out-of-work households - 2013,Public Transport Accessibility - 2009,Public Transport Accessibility - 2010,Public Transport Accessibility - 2011,Public Transport Accessibility - 2012,Public Transport Accessibility - 2013,"Homes with access to open space & nature, and % greenspace - 2009","Homes with access to open space & nature, and % greenspace - 2010","Homes with access to open space & nature, and % greenspace - 2011","Homes with access to open space & nature, and % greenspace - 2012","Homes with access to open space & nature, and % greenspace - 2013","Subjective well-being average score, 2011/12 and 2012/13","Subjective well-being average score, 2011/12 and 2012/13","Subjective well-being average score, 2011/12 and 2012/13","Subjective well-being average score, 2011/12 and 2012/13","Subjective well-being average score, 2013"
00AA,E09000001,City of London,City of London,84.3,83.7,83.7,84.5,86.4,22.2,22.2,22.2,25.5,28.8,3.3,2.6,2.1,1.4,0.8,3,2.6,2,2.2,2.2,18.4,17.7,17,14.3,14,0.7,0.1,0.1,0.7,0.3,347,332,363,367,360,0.24,0.84,0.44,0.5,0.7,17,15,12,10,10,7.7,7.7,7.7,7.6,7.9,-6.5,-6.5,-6.5,-6.5,-6.5,7.6,7.6,7.6,7.6,7.7
00ABFX,E05000026,Abbey,Barking and Dagenham,82.1,82.5,82.1,81.1,82,21.7,21.7,21.7,21.5,23.2,4.6,3.9,3.4,2.4,1.6,8.3,8.6,7.8,8.9,8.9,180.7,170.4,151.9,138.3,120.8,1.9,1,1,0.6,1.2,311,332,335,330,334,1.22,1.68,1.48,1.32,1.36,38,29,28,29,25,6,6,5.9,5.7,6,-0.9,-0.9,-0.9,-0.9,-0.9,7.9,7.9,7.9,7.9,7.8
00ABFY,E05000027,Alibon,Barking and Dagenham,77.8,78.3,78.3,78.1,79,26,26,26,25.9,25.6,7,6.4,6,4.4,3.2,9.9,9.7,9.3,10.2,10.2,125.2,123.6,117.6,105,93.2,1.1,1.2,0.7,0.3,0.7,302,325,333,341,323,1.53,1.34,1.45,1.34,1.49,40,35,34,35,32,3.3,3.3,3.3,3.2,3.1,-1.8,-1.8,-1.8,-1.8,-1.8,7.4,7.4,7.4,7.4,7.6
00ABFZ,E05000028,Becontree,Barking and Dagenham,78.4,78.9,78.7,79,79.2,22.4,22.4,22.4,24.9,28.4,6.7,6.2,5.8,4.5,2.3,9.4,10.2,9.2,9.9,9.9,149,131.5,130.9,113.9,104.7,1,1.3,0.8,0.8,0.4,320,328,327,346,319,1.55,1.6,1.51,1.35,1.47,38,34,33,33,32,2.8,2.8,2.9,2.9,2.9,-5.5,-5.5,-5.5,-5.5,-5.5,7.6,7.6,7.6,7.6,7.6
00ABGA,E05000029,Chadwell Heath,Barking and Dagenham,79.9,79.7,80.3,80.1,80.8,23.8,23.8,23.8,25.8,28.8,6.7,6,5.5,4.3,2.6,8.6,8.6,8.1,8.6,8.6,135.4,143.6,116.6,99.4,83.7,1.9,4.4,1.8,1.1,1.9,325,327,340,327,330,1.22,1.81,1.54,1.69,1.6,40,32,30,29,28,2.3,2.3,2.3,2.2,2.3,2,2,2,2,2,7.1,7.1,7.1,7.1,7.6
00ABGB,E05000030,Eastbrook,Barking and Dagenham,77.5,78.1,78.2,79,79.2,23.1,23.1,23.1,24.3,24.1,4.8,4.2,3.8,2.8,1.9,7,7.1,7.7,8.3,8.3,93.7,74.5,81.6,70.2,61.6,2.4,1.2,1.1,1,1.1,305,340,330,349,350,1.11,0.84,1.06,0.98,1.21,27,24,24,24,24,2.3,2.3,2.3,2.4,2.3,5.7,5.7,5.7,5.7,5.7,7.9,7.9,7.9,7.9,7.6
00ABGC,E05000031,Eastbury,Barking and Dagenham,80.5,81,81.6,81.8,82,22.8,22.8,22.8,22.6,24.3,7,5.9,5.2,3.9,2.4,7.9,8.6,9.7,10.2,10.2,125.8,136.6,105,96.4,88.3,1.3,2,1.5,1.2,1.4,303,331,349,339,340,1.27,1.61,1.4,1.38,1.45,38,32,30,29,28,2.9,2.9,2.8,2.8,2.7,-8.2,-8.2,-8.2,-8.2,-8.2,8.1,8.1,8.1,8.1,7.8
00ABGD,E05000032,Gascoigne,Barking and Dagenham,77.8,78.1,79,77.6,78.2,22.3,22.3,22.3,23.9,26.1,8.3,7.1,6.2,4.5,2.8,12.2,14.2,13.7,12.2,12.2,118.6,144.2,139,123,109.6,1.5,1.3,2.2,1.3,0.7,297,319,331,341,340,1.2,1.72,1.37,1.22,1.32,46,35,34,31,27,4,4,3.8,3.6,3.2,-10,-10,-10,-10,-10,7.8,7.8,7.8,7.8,7.8
00ABGE,E05000033,Goresbrook,Barking and Dagenham,78.5,79.6,79.6,79.7,80.3,25.1,25.1,25.1,25.2,25.8,7.2,6.3,5.6,4.2,2.6,8.7,9.1,9.3,9.5,9.5,124.5,125.5,110.8,99.6,97.8,2.7,1.2,0.9,1.6,1.1,287,325,332,340,345,1.28,1.21,1.41,1.32,1.16,37,32,31,31,31,2.6,2.6,2.5,2.5,2.5,4.8,4.8,4.8,4.8,4.8,6.9,6.9,6.9,6.9,7.8
00ABGF,E05000034,Heath,Barking and Dagenham,77.4,77,78,78,78.5,25.7,25.7,25.7,26.2,25.4,7.7,6.5,6,5.1,3.1,11.6,11,11.6,11.9,11.9,96.1,93.8,99.1,91.5,77.1,2.2,1.7,1.6,1.4,1,337,316,326,319,338,1.37,1.22,1.24,1.02,1.12,42,35,36,33,33,2.6,2.6,2.6,2.6,2.7,0.4,0.4,0.4,0.4,0.4,7.5,7.5,7.5,7.5,7.6
