Ward,Old ward code,Ward name,Borough name,2001;All aged 16-74 in work,2001;Travel by bicycle,2001;% travel by bicycle,2011;All aged 16-74 in work,2011;Travel by bicycle,2011;% travel by bicycle,Percentage point change
E09000001,00AA,City of London,City of London,"4,247",73,1.7,"4,747",252,5.3,3.6
E05000026,00ABFX,Abbey,Barking and Dagenham,"4,124",47,1.1,"5,489",44,0.8,-0.3
E05000027,00ABFY,Alibon,Barking and Dagenham,"3,633",69,1.9,"4,214",43,1.0,-0.9
E05000028,00ABFZ,Becontree,Barking and Dagenham,"4,339",82,1.9,"4,674",77,1.6,-0.2
E05000029,00ABGA,Chadwell Heath,Barking and Dagenham,"3,566",30,0.8,"3,916",46,1.2,0.3
E05000030,00ABGB,Eastbrook,Barking and Dagenham,"4,563",73,1.6,"4,686",73,1.6,0.0
E05000031,00ABGC,Eastbury,Barking and Dagenham,"4,176",71,1.7,"4,620",70,1.5,-0.2
E05000032,00ABGD,Gascoigne,Barking and Dagenham,"3,223",57,1.8,"4,433",60,1.4,-0.4
E05000033,00ABGE,Goresbrook,Barking and Dagenham,"4,123",103,2.5,"4,596",80,1.7,-0.8
E05000034,00ABGF,Heath,Barking and Dagenham,"3,428",67,2.0,"4,122",66,1.6,-0.4
E05000035,00ABGG,Longbridge,Barking and Dagenham,"4,168",40,1.0,"4,979",56,1.1,0.2
E05000036,00ABGH,Mayesbrook,Barking and Dagenham,"3,640",72,2.0,"4,044",63,1.6,-0.4
E05000037,00ABGJ,Parsloes,Barking and Dagenham,"3,480",61,1.8,"3,840",47,1.2,-0.5
E05000038,00ABGK,River,Barking and Dagenham,"4,310",54,1.3,"4,491",61,1.4,0.1
E05000039,00ABGL,Thames,Barking and Dagenham,"3,323",49,1.5,"4,133",87,2.1,0.6
E05000040,00ABGM,Valence,Barking and Dagenham,"3,435",45,1.3,"3,949",60,1.5,0.2
E05000041,00ABGN,Village,Barking and Dagenham,"3,899",64,1.6,"4,322",103,2.4,0.7
E05000042,00ABGP,Whalebone,Barking and Dagenham,"4,448",43,1.0,"4,709",48,1.0,0.1
E05000043,00ACFX,Brunswick Park,Barnet,"6,893",45,0.7,"7,871",75,1.0,0.3
E05000044,00ACFY,Burnt Oak,Barnet,"6,123",72,1.2,"7,828",61,0.8,-0.4
E05000045,00ACFZ,Childs Hill,Barnet,"7,919",106,1.3,"9,699",247,2.5,1.2
E05000046,00ACGA,Colindale,Barnet,"5,743",33,0.6,"7,506",77,1.0,0.5
E05000047,00ACGB,Coppetts,Barnet,"7,216",77,1.1,"8,842",179,2.0,1.0
E05000048,00ACGC,East Barnet,Barnet,"7,564",66,0.9,"7,846",68,0.9,0.0
E05000049,00ACGD,East Finchley,Barnet,"7,323",114,1.6,"8,403",263,3.1,1.6
E05000050,00ACGE,Edgware,Barnet,"6,596",29,0.4,"7,607",52,0.7,0.2
E05000051,00ACGF,Finchley Church End,Barnet,"6,673",57,0.9,"7,843",106,1.4,0.5
E05000052,00ACGG,Garden Suburb,Barnet,"6,984",75,1.1,"7,859",196,2.5,1.4
E05000053,00ACGH,Golders Green,Barnet,"6,530",72,1.1,"7,947",133,1.7,0.6
E05000054,00ACGJ,Hale,Barnet,"7,151",39,0.5,"8,130",63,0.8,0.2
E05000055,00ACGK,Hendon,Barnet,"6,916",52,0.8,"8,670",107,1.2,0.5
E05000056,00ACGL,High Barnet,Barnet,"6,914",64,0.9,"7,729",120,1.6,0.6
E05000057,00ACGM,Mill Hill,Barnet,"7,277",42,0.6,"8,711",85,1.0,0.4
E05000058,00ACGN,Oakleigh,Barnet,"7,031",48,0.7,"7,864",76,1.0,0.3
E05000059,00ACGP,Totteridge,Barnet,"6,729",51,0.8,"7,229",76,1.1,0.3
E05000060,00ACGQ,Underhill,Barnet,"6,964",63,0.9,"7,152",58,0.8,-0.1
E05000061,00ACGR,West Finchley,Barnet,"7,413",83,1.1,"8,809",147,1.7,0.5
E05000062,00ACGS,West Hendon,Barnet,"6,506",46,0.7,"8,259",109,1.3,0.6
E05000063,00ACGT,Woodhouse,Barnet,"7,440",86,1.2,"8,854",175,2.0,0.8
E05000064,00ADGA,Barnehurst,Bexley,"5,097",40,0.8,"5,091",49,1.0,0.2
E05000065,00ADGB,Belvedere,Bexley,"5,057",48,0.9,"5,563",69,1.2,0.3
E05000066,00ADGC,Blackfen and Lamorbey,Bexley,"5,154",54,1.0,"5,324",75,1.4,0.4
E05000067,00ADGD,Blendon and Penhill,Bexley,"5,171",48,0.9,"5,491",68,1.2,0.3
E05000068,00ADGE,Brampton,Bexley,"4,975",54,1.1,"5,140",55,1.1,0.0
E05000069,00ADGF,Christchurch,Bexley,"5,153",48,0.9,"5,537",52,0.9,0.0
E05000070,00ADGG,Colyers,Bexley,"4,761",64,1.3,"5,055",57,1.1,-0.2
E05000071,00ADGH,Crayford,Bexley,"4,849",76,1.6,"5,351",56,1.0,-0.5
E05000072,00ADGJ,Cray Meadows,Bexley,"4,586",47,1.0,"5,080",78,1.5,0.5
E05000073,00ADGK,Danson Park,Bexley,"4,992",43,0.9,"5,375",57,1.1,0.2
E05000074,00ADGL,East Wickham,Bexley,"4,906",36,0.7,"5,173",61,1.2,0.4
E05000075,00ADGM,Erith,Bexley,"4,652",39,0.8,"5,357",55,1.0,0.2
E05000076,00ADGN,Falconwood and Welling,Bexley,"5,130",47,0.9,"5,504",58,1.1,0.1
E05000077,00ADGP,Lesnes Abbey,Bexley,"4,840",37,0.8,"5,148",55,1.1,0.3
E05000078,00ADGQ,Longlands,Bexley,"4,654",57,1.2,"5,059",67,1.3,0.1
E05000079,00ADGR,North End,Bexley,"4,451",51,1.1,"4,681",61,1.3,0.2
E05000080,00ADGS,Northumberland Heath,Bexley,"5,041",52,1.0,"5,141",64,1.2,0.2
E05000081,00ADGT,St Mary's,Bexley,"4,865",41,0.8,"5,127",64,1.2,0.4
E05000082,00ADGU,St Michael's,Bexley,"5,171",62,1.2,"5,548",62,1.1,-0.1
E05000083,00ADGW,Sidcup,Bexley,"5,154",60,1.2,"5,339",65,1.2,0.1
E05000084,00ADGX,Thamesmead East,Bexley,"4,980",35,0.7,"5,075",67,1.3,0.6
E05000085,00AEGJ,Alperton,Brent,"5,638",55,1.0,"6,872",115,1.7,0.7
E05000086,00AEGK,Barnhill,Brent,"5,411",42,0.8,"6,969",37,0.5,-0.2
E05000087,00AEGL,Brondesbury Park,Brent,"5,645",143,2.5,"6,820",326,4.8,2.2
E05000088,00AEGM,Dollis Hill,Brent,"5,201",52,1.0,"5,421",80,1.5,0.5
E05000089,00AEGN,Dudden Hill,Brent,"6,305",106,1.7,"7,100",228,3.2,1.5
E05000090,00AEGP,Fryent,Brent,"5,305",31,0.6,"6,205",66,1.1,0.5
E05000091,00AEGQ,Harlesden,Brent,"4,769",125,2.6,"6,867",241,3.5,0.9
E05000092,00AEGR,Kensal Green,Brent,"5,178",171,3.3,"7,467",406,5.4,2.1
E05000093,00AEGS,Kenton,Brent,"5,510",22,0.4,"5,884",40,0.7,0.3
